平台,测试编号,上下文分层,md字节,csv字节,关键结论数,段落命中数,段落命中率,引句命中数,引句命中率,无法判断标注数,无法判断标注率,CSV异常行数,回答正文字符数,耗时秒,积分,题目质量分
ChatGPT Work,FACTS_001,短上下文,1526,858,4,4,1.0,4,1.0,0,0.0,0,844,73.72,,9.95
ChatGPT Work,FACTS_002,短上下文,4455,2975,12,12,1.0,10,0.8333333333333334,0,0.0,0,2827,90.07,,9.2
ChatGPT Work,FACTS_003,短上下文,5594,3156,20,20,1.0,17,0.85,0,0.0,0,3409,197.83,,8.85
ChatGPT Work,FACTS_004,中等上下文,1264,658,2,2,1.0,0,0.0,0,0.0,0,780,59.78,,4.8
ChatGPT Work,FACTS_005,中等上下文,3662,2390,8,8,1.0,1,0.125,0,0.0,0,2464,168.51,,10.0
ChatGPT Work,FACTS_006,中等上下文,2475,1692,10,10,1.0,0,0.0,0,0.0,0,2037,101.39,,9.6
ChatGPT Work,FACTS_007,长上下文,2024,1224,4,4,1.0,3,0.75,0,0.0,0,1188,91.54,,9.0
ChatGPT Work,FACTS_008,长上下文,4595,2768,11,11,1.0,6,0.5454545454545454,0,0.0,0,2698,138.45,,9.85
ChatGPT Work,FACTS_009,长上下文,5478,2362,10,10,1.0,9,0.9,0,0.0,0,3090,108.41,,9.5
WorkBuddy,FACTS_001,短上下文,2507,1136,5,5,1.0,4,0.8,0,0.0,0,1385,112.04,27.33,9.65
WorkBuddy,FACTS_002,短上下文,6545,3732,11,1,0.09090909090909091,10,0.9090909090909091,0,0.0,0,4165,238.89,25.92,9.15
WorkBuddy,FACTS_003,短上下文,11197,4847,12,12,1.0,6,0.5,0,0.0,0,7821,259.24,4.09,8.35
WorkBuddy,FACTS_004,中等上下文,2875,1131,3,3,1.0,0,0.0,0,0.0,0,1811,103.72,18.21,9.57
WorkBuddy,FACTS_005,中等上下文,3975,2321,8,0,0.0,0,0.0,0,0.0,0,2549,72.75,1.8,9.43
WorkBuddy,FACTS_006,中等上下文,11563,7115,21,20,0.9523809523809523,0,0.0,0,0.0,1,7873,124.47,2.74,9.53
WorkBuddy,FACTS_007,长上下文,6957,2738,9,9,1.0,5,0.5555555555555556,0,0.0,0,3948,140.53,35.7,9.75
WorkBuddy,FACTS_008,长上下文,4280,1867,7,7,1.0,4,0.5714285714285714,0,0.0,0,2485,111.41,23.11,9.77
WorkBuddy,FACTS_009,长上下文,15341,8209,33,33,1.0,30,0.9090909090909091,0,0.0,0,9395,231.1,36.06,9.83
TRAE Work,FACTS_001,短上下文,1650,955,4,4,1.0,4,1.0,0,0.0,0,938,63.54,10.15,9.72
TRAE Work,FACTS_002,短上下文,6026,3244,16,1,0.0625,14,0.875,0,0.0,0,3772,146.3,10.92,9.53
TRAE Work,FACTS_003,短上下文,6389,3658,16,15,0.9375,15,0.9375,1,0.0625,0,3649,144.1,22.0,9.47
TRAE Work,FACTS_004,中等上下文,1507,767,2,1,0.5,0,0.0,1,0.5,0,1035,64.94,9.61,9.32
TRAE Work,FACTS_005,中等上下文,3952,2357,8,8,1.0,0,0.0,0,0.0,0,2342,112.3,11.07,10.0
TRAE Work,FACTS_006,中等上下文,5854,2102,10,10,1.0,0,0.0,0,0.0,0,3320,151.57,10.34,9.88
TRAE Work,FACTS_007,长上下文,5510,2324,8,0,0.0,4,0.5,0,0.0,0,3237,102.42,7.74,9.05
TRAE Work,FACTS_008,长上下文,3367,1955,7,1,0.14285714285714285,7,1.0,0,0.0,0,1947,76.93,12.87,9.21
TRAE Work,FACTS_009,长上下文,6971,3533,12,12,1.0,10,0.8333333333333334,0,0.0,0,4023,101.79,11.15,9.7
